 case_id,province,city,group,infection_case,confirmed,latitude_x,longitude_x,code,latitude_y,longitude_y,elementary_school_count,kindergarten_count,university_count,academy_ratio,elderly_population_ratio,elderly_alone_ratio,nursing_home_count
1700002,Sejong,Sejong,True,gym facility in Sejong,8,36.48025,127.289,17000,36.480132,127.289021,48,60,3,1.78,9.48,3.8,491
2000001,Gyeonggi-do,Seongnam-si,True,River of Grace Community Church,67,37.455687,127.161627,20120,37.42,127.126703,72,127,3,2.08,13.52,5.6,2095
2000010,Gyeonggi-do,Seongnam-si,True,Bundang Jesaeng Hospital,22,37.38833,127.1218,20120,37.42,127.126703,72,127,3,2.08,13.52,5.6,2095
2000019,Gyeonggi-do,Seongnam-si,True,Seongnam neighbors gathering,5,-,-,20120,37.42,127.126703,72,127,3,2.08,13.52,5.6,2095
2000002,Gyeonggi-do,Bucheon-si,True,Coupang Logistics Center,67,37.530579,126.775254,20110,37.503393,126.766049,64,124,4,1.51,12.77,5.4,1432
2000005,Gyeonggi-do,Uijeongbu-si,True,Uijeongbu St. Mary’s Hospital,50,37.758635,127.077716,20250,37.738058,127.033716,33,62,1,1.59,14.61,6.4,729
2000011,Gyeonggi-do,Anyang-si,True,Anyang Gunpo Pastors Group,22,37.381784,126.93615,20170,37.394258,126.956752,41,79,4,1.86,12.88,5.1,1099
2000013,Gyeonggi-do,Anyang-si,True,Lord Glory Church,17,37.403722,126.954939,20170,37.394258,126.956752,41,79,4,1.86,12.88,5.1,1099
2000012,Gyeonggi-do,Suwon-si,True,Lotte Confectionery logistics center,15,37.287356,127.013827,20130,37.263376,127.028613,99,192,4,1.72,10.5,4.5,2082
2000014,Gyeonggi-do,Suwon-si,True,Suwon Saeng Myeong Saem Church,10,37.2376,127.0517,20130,37.263376,127.028613,99,192,4,1.72,10.5,4.5,2082
3000003,Gangwon-do,Wonju-si,True,Wonju-si Apartments,4,37.342762,127.983815,30090,37.341963,127.919668,50,71,4,1.71,14.46,6.7,597
4000001,Chungcheongbuk-do,Goesan-gun,True,Goesan-gun Jangyeon-myeon,11,36.82422,127.9552,40010,36.81534,127.786651,14,15,1,0.36,33.01,16.5,64
4100001,Chungcheongnam-do,Cheonan-si,True,gym facility in Cheonan,103,36.81503,127.1139,41120,36.81498,127.113868,75,112,6,1.91,10.42,4.5,1069
4100003,Chungcheongnam-do,Seosan-si,True,Seosan-si Laboratory,9,37.000354,126.354443,41080,36.784751,126.450289,29,39,1,1.3,18.01,8.4,261
5100001,Jeollanam-do,Muan-gun,True,Manmin Central Church,2,35.078825,126.316746,51090,34.990368,126.481653,18,21,2,2.12,20.82,11.8,141
6000002,Gyeongsangbuk-do,Cheongdo-gun,True,Cheongdo Daenam Hospital,119,35.64887,128.7368,60200,35.647361,128.734382,11,14,0,0.63,36.55,21.0,85
6000003,Gyeongsangbuk-do,Bonghwa-gun,True,Bonghwa Pureun Nursing Home,68,36.92757,128.9099,60080,36.893099,128.732568,14,17,0,0.37,35.26,20.0,47
6000004,Gyeongsangbuk-do,Gyeongsan-si,True,Gyeongsan Seorin Nursing Home,66,35.782149,128.801498,60010,35.825056,128.741544,31,61,10,1.34,16.18,7.0,427
