code,province,city,latitude,longitude,confirmed,elementary_school_count,elderly_population_ratio,elderly_alone_ratio,nursing_home_count,academy_ratio
10170,Seoul,Seongbuk-gu,37.589562,127.0167,95,29,16.15,6.0,729,1.02
10180,Seoul,Songpa-gu,37.51462,127.106141,95,40,13.1,4.1,1527,1.65
10190,Seoul,Yangcheon-gu,37.517189,126.866618,95,30,13.55,5.5,816,2.26
10200,Seoul,Yeongdeungpo-gu,37.526505,126.89619,95,23,15.6,5.8,1001,1.21
10210,Seoul,Yongsan-gu,37.532768,126.990021,95,15,16.87,6.5,435,0.68
10220,Seoul,Eunpyeong-gu,37.603481,126.929173,95,31,17.0,6.5,874,1.09
10230,Seoul,Jongno-gu,37.572999,126.979189,95,13,18.27,6.8,668,1.71
10240,Seoul,Jung-gu,37.563988,126.99753,95,12,18.42,7.4,728,0.94
10250,Seoul,Jungnang-gu,37.606832,127.092656,95,23,16.65,6.9,689,0.7
10000,Seoul,Seoul,37.566953,126.977977,43,607,15.38,5.8,22739,1.44
10010,Seoul,Gangnam-gu,37.518421,127.047222,43,33,13.17,4.3,3088,4.18
10020,Seoul,Gangdong-gu,37.530492,127.123837,43,27,14.55,5.4,1023,1.54
10030,Seoul,Gangbuk-gu,37.639938,127.025508,43,14,19.49,8.5,628,0.67
10040,Seoul,Gangseo-gu,37.551166,126.849506,43,36,14.39,5.7,1080,1.17
10050,Seoul,Gwanak-gu,37.47829,126.951502,43,22,15.12,4.9,909,0.89
10060,Seoul,Gwangjin-gu,37.538712,127.082366,43,22,13.75,4.8,723,1.16
10070,Seoul,Guro-gu,37.495632,126.88765,43,26,16.21,5.7,741,1.0
10080,Seoul,Geumcheon-gu,37.456852,126.895229,43,18,16.15,6.7,475,0.96
10090,Seoul,Nowon-gu,37.654259,127.056294,43,42,15.4,7.4,952,1.39
10100,Seoul,Dobong-gu,37.668952,127.047082,43,23,17.89,7.2,485,0.95
10110,Seoul,Dongdaemun-gu,37.574552,127.039721,43,21,17.26,6.7,832,1.06
10120,Seoul,Dongjak-gu,37.510571,126.963604,43,21,15.85,5.2,762,1.17
10130,Seoul,Mapo-gu,37.566283,126.901644,43,22,14.05,4.9,929,1.83
10140,Seoul,Seodaemun-gu,37.579428,126.936771,43,19,16.77,6.2,587,1.12
10150,Seoul,Seocho-gu,37.483804,127.032693,43,24,13.39,3.8,1465,2.6
10160,Seoul,Seongdong-gu,37.563277,127.036647,43,21,14.76,5.3,593,0.97
10170,Seoul,Seongbuk-gu,37.589562,127.0167,43,29,16.15,6.0,729,1.02
10180,Seoul,Songpa-gu,37.51462,127.106141,43,40,13.1,4.1,1527,1.65
10190,Seoul,Yangcheon-gu,37.517189,126.866618,43,30,13.55,5.5,816,2.26
10200,Seoul,Yeongdeungpo-gu,37.526505,126.89619,43,23,15.6,5.8,1001,1.21
10210,Seoul,Yongsan-gu,37.532768,126.990021,43,15,16.87,6.5,435,0.68
10220,Seoul,Eunpyeong-gu,37.603481,126.929173,43,31,17.0,6.5,874,1.09
10230,Seoul,Jongno-gu,37.572999,126.979189,43,13,18.27,6.8,668,1.71
10240,Seoul,Jung-gu,37.563988,126.99753,43,12,18.42,7.4,728,0.94
10250,Seoul,Jungnang-gu,37.606832,127.092656,43,23,16.65,6.9,689,0.7
10000,Seoul,Seoul,37.566953,126.977977,43,607,15.38,5.8,22739,1.44
10010,Seoul,Gangnam-gu,37.518421,127.047222,43,33,13.17,4.3,3088,4.18
10020,Seoul,Gangdong-gu,37.530492,127.123837,43,27,14.55,5.4,1023,1.54
10030,Seoul,Gangbuk-gu,37.639938,127.025508,43,14,19.49,8.5,628,0.67
10040,Seoul,Gangseo-gu,37.551166,126.849506,43,36,14.39,5.7,1080,1.17
10050,Seoul,Gwanak-gu,37.47829,126.951502,43,22,15.12,4.9,909,0.89
10060,Seoul,Gwangjin-gu,37.538712,127.082366,43,22,13.75,4.8,723,1.16
10070,Seoul,Guro-gu,37.495632,126.88765,43,26,16.21,5.7,741,1.0
10080,Seoul,Geumcheon-gu,37.456852,126.895229,43,18,16.15,6.7,475,0.96
10090,Seoul,Nowon-gu,37.654259,127.056294,43,42,15.4,7.4,952,1.39
10100,Seoul,Dobong-gu,37.668952,127.047082,43,23,17.89,7.2,485,0.95
10110,Seoul,Dongdaemun-gu,37.574552,127.039721,43,21,17.26,6.7,832,1.06
10120,Seoul,Dongjak-gu,37.510571,126.963604,43,21,15.85,5.2,762,1.17
10130,Seoul,Mapo-gu,37.566283,126.901644,43,22,14.05,4.9,929,1.83
10140,Seoul,Seodaemun-gu,37.579428,126.936771,43,19,16.77,6.2,587,1.12
10150,Seoul,Seocho-gu,37.483804,127.032693,43,24,13.39,3.8,1465,2.6
10160,Seoul,Seongdong-gu,37.563277,127.036647,43,21,14.76,5.3,593,0.97
10170,Seoul,Seongbuk-gu,37.589562,127.0167,43,29,16.15,6.0,729,1.02
10180,Seoul,Songpa-gu,37.51462,127.106141,43,40,13.1,4.1,1527,1.65
10190,Seoul,Yangcheon-gu,37.517189,126.866618,43,30,13.55,5.5,816,2.26
10200,Seoul,Yeongdeungpo-gu,37.526505,126.89619,43,23,15.6,5.8,1001,1.21
10210,Seoul,Yongsan-gu,37.532768,126.990021,43,15,16.87,6.5,435,0.68
10220,Seoul,Eunpyeong-gu,37.603481,126.929173,43,31,17.0,6.5,874,1.09
10230,Seoul,Jongno-gu,37.572999,126.979189,43,13,18.27,6.8,668,1.71
10240,Seoul,Jung-gu,37.563988,126.99753,43,12,18.42,7.4,728,0.94
10250,Seoul,Jungnang-gu,37.606832,127.092656,43,23,16.65,6.9,689,0.7
10000,Seoul,Seoul,37.566953,126.977977,41,607,15.38,5.8,22739,1.44
10010,Seoul,Gangnam-gu,37.518421,127.047222,41,33,13.17,4.3,3088,4.18
10020,Seoul,Gangdong-gu,37.530492,127.123837,41,27,14.55,5.4,1023,1.54
10030,Seoul,Gangbuk-gu,37.639938,127.025508,41,14,19.49,8.5,628,0.67
10040,Seoul,Gangseo-gu,37.551166,126.849506,41,36,14.39,5.7,1080,1.17
10050,Seoul,Gwanak-gu,37.47829,126.951502,41,22,15.12,4.9,909,0.89
10060,Seoul,Gwangjin-gu,37.538712,127.082366,41,22,13.75,4.8,723,1.16
10070,Seoul,Guro-gu,37.495632,126.88765,41,26,16.21,5.7,741,1.0
10080,Seoul,Geumcheon-gu,37.456852,126.895229,41,18,16.15,6.7,475,0.96
10090,Seoul,Nowon-gu,37.654259,127.056294,41,42,15.4,7.4,952,1.39
10100,Seoul,Dobong-gu,37.668952,127.047082,41,23,17.89,7.2,485,0.95
10110,Seoul,Dongdaemun-gu,37.574552,127.039721,41,21,17.26,6.7,832,1.06
10120,Seoul,Dongjak-gu,37.510571,126.963604,41,21,15.85,5.2,762,1.17
10130,Seoul,Mapo-gu,37.566283,126.901644,41,22,14.05,4.9,929,1.83
10140,Seoul,Seodaemun-gu,37.579428,126.936771,41,19,16.77,6.2,587,1.12
10150,Seoul,Seocho-gu,37.483804,127.032693,41,24,13.39,3.8,1465,2.6
10160,Seoul,Seongdong-gu,37.563277,127.036647,41,21,14.76,5.3,593,0.97
10170,Seoul,Seongbuk-gu,37.589562,127.0167,41,29,16.15,6.0,729,1.02
10180,Seoul,Songpa-gu,37.51462,127.106141,41,40,13.1,4.1,1527,1.65
10190,Seoul,Yangcheon-gu,37.517189,126.866618,41,30,13.55,5.5,816,2.26
10200,Seoul,Yeongdeungpo-gu,37.526505,126.89619,41,23,15.6,5.8,1001,1.21
10210,Seoul,Yongsan-gu,37.532768,126.990021,41,15,16.87,6.5,435,0.68
10220,Seoul,Eunpyeong-gu,37.603481,126.929173,41,31,17.0,6.5,874,1.09
10230,Seoul,Jongno-gu,37.572999,126.979189,41,13,18.27,6.8,668,1.71
10240,Seoul,Jung-gu,37.563988,126.99753,41,12,18.42,7.4,728,0.94
10250,Seoul,Jungnang-gu,37.606832,127.092656,41,23,16.65,6.9,689,0.7
10000,Seoul,Seoul,37.566953,126.977977,36,607,15.38,5.8,22739,1.44
10010,Seoul,Gangnam-gu,37.518421,127.047222,36,33,13.17,4.3,3088,4.18
10020,Seoul,Gangdong-gu,37.530492,127.123837,36,27,14.55,5.4,1023,1.54
10030,Seoul,Gangbuk-gu,37.639938,127.025508,36,14,19.49,8.5,628,0.67
10040,Seoul,Gangseo-gu,37.551166,126.849506,36,36,14.39,5.7,1080,1.17
10050,Seoul,Gwanak-gu,37.47829,126.951502,36,22,15.12,4.9,909,0.89
10060,Seoul,Gwangjin-gu,37.538712,127.082366,36,22,13.75,4.8,723,1.16
10070,Seoul,Guro-gu,37.495632,126.88765,36,26,16.21,5.7,741,1.0
10080,Seoul,Geumcheon-gu,37.456852,126.895229,36,18,16.15,6.7,475,0.96
10090,Seoul,Nowon-gu,37.654259,127.056294,36,42,15.4,7.4,952,1.39
10100,Seoul,Dobong-gu,37.668952,127.047082,36,23,17.89,7.2,485,0.95
10110,Seoul,Dongdaemun-gu,37.574552,127.039721,36,21,17.26,6.7,832,1.06
10120,Seoul,Dongjak-gu,37.510571,126.963604,36,21,15.85,5.2,762,1.17
10130,Seoul,Mapo-gu,37.566283,126.901644,36,22,14.05,4.9,929,1.83
10140,Seoul,Seodaemun-gu,37.579428,126.936771,36,19,16.77,6.2,587,1.12
10150,Seoul,Seocho-gu,37.483804,127.032693,36,24,13.39,3.8,1465,2.6
10160,Seoul,Seongdong-gu,37.563277,127.036647,36,21,14.76,5.3,593,0.97
10170,Seoul,Seongbuk-gu,37.589562,127.0167,36,29,16.15,6.0,729,1.02
10180,Seoul,Songpa-gu,37.51462,127.106141,36,40,13.1,4.1,1527,1.65
10190,Seoul,Yangcheon-gu,37.517189,126.866618,36,30,13.55,5.5,816,2.26
10200,Seoul,Yeongdeungpo-gu,37.526505,126.89619,36,23,15.6,5.8,1001,1.21
10210,Seoul,Yongsan-gu,37.532768,126.990021,36,15,16.87,6.5,435,0.68
10220,Seoul,Eunpyeong-gu,37.603481,126.929173,36,31,17.0,6.5,874,1.09
10230,Seoul,Jongno-gu,37.572999,126.979189,36,13,18.27,6.8,668,1.71
10240,Seoul,Jung-gu,37.563988,126.99753,36,12,18.42,7.4,728,0.94
10250,Seoul,Jungnang-gu,37.606832,127.092656,36,23,16.65,6.9,689,0.7
10000,Seoul,Seoul,37.566953,126.977977,17,607,15.38,5.8,22739,1.44
10010,Seoul,Gangnam-gu,37.518421,127.047222,17,33,13.17,4.3,3088,4.18
10020,Seoul,Gangdong-gu,37.530492,127.123837,17,27,14.55,5.4,1023,1.54
10030,Seoul,Gangbuk-gu,37.639938,127.025508,17,14,19.49,8.5,628,0.67
10040,Seoul,Gangseo-gu,37.551166,126.849506,17,36,14.39,5.7,1080,1.17
10050,Seoul,Gwanak-gu,37.47829,126.951502,17,22,15.12,4.9,909,0.89
10060,Seoul,Gwangjin-gu,37.538712,127.082366,17,22,13.75,4.8,723,1.16
10070,Seoul,Guro-gu,37.495632,126.88765,17,26,16.21,5.7,741,1.0
10080,Seoul,Geumcheon-gu,37.456852,126.895229,17,18,16.15,6.7,475,0.96
10090,Seoul,Nowon-gu,37.654259,127.056294,17,42,15.4,7.4,952,1.39
10100,Seoul,Dobong-gu,37.668952,127.047082,17,23,17.89,7.2,485,0.95
10110,Seoul,Dongdaemun-gu,37.574552,127.039721,17,21,17.26,6.7,832,1.06
10120,Seoul,Dongjak-gu,37.510571,126.963604,17,21,15.85,5.2,762,1.17
10130,Seoul,Mapo-gu,37.566283,126.901644,17,22,14.05,4.9,929,1.83
10140,Seoul,Seodaemun-gu,37.579428,126.936771,17,19,16.77,6.2,587,1.12
10150,Seoul,Seocho-gu,37.483804,127.032693,17,24,13.39,3.8,1465,2.6
10160,Seoul,Seongdong-gu,37.563277,127.036647,17,21,14.76,5.3,593,0.97
10170,Seoul,Seongbuk-gu,37.589562,127.0167,17,29,16.15,6.0,729,1.02
10180,Seoul,Songpa-gu,37.51462,127.106141,17,40,13.1,4.1,1527,1.65
10190,Seoul,Yangcheon-gu,37.517189,126.866618,17,30,13.55,5.5,816,2.26
10200,Seoul,Yeongdeungpo-gu,37.526505,126.89619,17,23,15.6,5.8,1001,1.21
10210,Seoul,Yongsan-gu,37.532768,126.990021,17,15,16.87,6.5,435,0.68
10220,Seoul,Eunpyeong-gu,37.603481,126.929173,17,31,17.0,6.5,874,1.09
10230,Seoul,Jongno-gu,37.572999,126.979189,17,13,18.27,6.8,668,1.71
10240,Seoul,Jung-gu,37.563988,126.99753,17,12,18.42,7.4,728,0.94
10250,Seoul,Jungnang-gu,37.606832,127.092656,17,23,16.65,6.9,689,0.7
10000,Seoul,Seoul,37.566953,126.977977,25,607,15.38,5.8,22739,1.44
10010,Seoul,Gangnam-gu,37.518421,127.047222,25,33,13.17,4.3,3088,4.18
10020,Seoul,Gangdong-gu,37.530492,127.123837,25,27,14.55,5.4,1023,1.54
10030,Seoul,Gangbuk-gu,37.639938,127.025508,25,14,19.49,8.5,628,0.67
10040,Seoul,Gangseo-gu,37.551166,126.849506,25,36,14.39,5.7,1080,1.17
10050,Seoul,Gwanak-gu,37.47829,126.951502,25,22,15.12,4.9,909,0.89
10060,Seoul,Gwangjin-gu,37.538712,127.082366,25,22,13.75,4.8,723,1.16
10070,Seoul,Guro-gu,37.495632,126.88765,25,26,16.21,5.7,741,1.0
10080,Seoul,Geumcheon-gu,37.456852,126.895229,25,18,16.15,6.7,475,0.96
10090,Seoul,Nowon-gu,37.654259,127.056294,25,42,15.4,7.4,952,1.39
10100,Seoul,Dobong-gu,37.668952,127.047082,25,23,17.89,7.2,485,0.95
10110,Seoul,Dongdaemun-gu,37.574552,127.039721,25,21,17.26,6.7,832,1.06
10120,Seoul,Dongjak-gu,37.510571,126.963604,25,21,15.85,5.2,762,1.17
10130,Seoul,Mapo-gu,37.566283,126.901644,25,22,14.05,4.9,929,1.83
10140,Seoul,Seodaemun-gu,37.579428,126.936771,25,19,16.77,6.2,587,1.12
10150,Seoul,Seocho-gu,37.483804,127.032693,25,24,13.39,3.8,1465,2.6
10160,Seoul,Seongdong-gu,37.563277,127.036647,25,21,14.76,5.3,593,0.97
10170,Seoul,Seongbuk-gu,37.589562,127.0167,25,29,16.15,6.0,729,1.02
10180,Seoul,Songpa-gu,37.51462,127.106141,25,40,13.1,4.1,1527,1.65
10190,Seoul,Yangcheon-gu,37.517189,126.866618,25,30,13.55,5.5,816,2.26
10200,Seoul,Yeongdeungpo-gu,37.526505,126.89619,25,23,15.6,5.8,1001,1.21
10210,Seoul,Yongsan-gu,37.532768,126.990021,25,15,16.87,6.5,435,0.68
10220,Seoul,Eunpyeong-gu,37.603481,126.929173,25,31,17.0,6.5,874,1.09
10230,Seoul,Jongno-gu,37.572999,126.979189,25,13,18.27,6.8,668,1.71
10240,Seoul,Jung-gu,37.563988,126.99753,25,12,18.42,7.4,728,0.94
10250,Seoul,Jungnang-gu,37.606832,127.092656,25,23,16.65,6.9,689,0.7
10000,Seoul,Seoul,37.566953,126.977977,30,607,15.38,5.8,22739,1.44
10010,Seoul,Gangnam-gu,37.518421,127.047222,30,33,13.17,4.3,3088,4.18
10020,Seoul,Gangdong-gu,37.530492,127.123837,30,27,14.55,5.4,1023,1.54
10030,Seoul,Gangbuk-gu,37.639938,127.025508,30,14,19.49,8.5,628,0.67
10040,Seoul,Gangseo-gu,37.551166,126.849506,30,36,14.39,5.7,1080,1.17
10050,Seoul,Gwanak-gu,37.47829,126.951502,30,22,15.12,4.9,909,0.89
10060,Seoul,Gwangjin-gu,37.538712,127.082366,30,22,13.75,4.8,723,1.16
10070,Seoul,Guro-gu,37.495632,126.88765,30,26,16.21,5.7,741,1.0
10080,Seoul,Geumcheon-gu,37.456852,126.895229,30,18,16.15,6.7,475,0.96
10090,Seoul,Nowon-gu,37.654259,127.056294,30,42,15.4,7.4,952,1.39
10100,Seoul,Dobong-gu,37.668952,127.047082,30,23,17.89,7.2,485,0.95
10110,Seoul,Dongdaemun-gu,37.574552,127.039721,30,21,17.26,6.7,832,1.06
10120,Seoul,Dongjak-gu,37.510571,126.963604,30,21,15.85,5.2,762,1.17
10130,Seoul,Mapo-gu,37.566283,126.901644,30,22,14.05,4.9,929,1.83
10140,Seoul,Seodaemun-gu,37.579428,126.936771,30,19,16.77,6.2,587,1.12
10150,Seoul,Seocho-gu,37.483804,127.032693,30,24,13.39,3.8,1465,2.6
10160,Seoul,Seongdong-gu,37.563277,127.036647,30,21,14.76,5.3,593,0.97
10170,Seoul,Seongbuk-gu,37.589562,127.0167,30,29,16.15,6.0,729,1.02
10180,Seoul,Songpa-gu,37.51462,127.106141,30,40,13.1,4.1,1527,1.65
10190,Seoul,Yangcheon-gu,37.517189,126.866618,30,30,13.55,5.5,816,2.26
10200,Seoul,Yeongdeungpo-gu,37.526505,126.89619,30,23,15.6,5.8,1001,1.21
10210,Seoul,Yongsan-gu,37.532768,126.990021,30,15,16.87,6.5,435,0.68
10220,Seoul,Eunpyeong-gu,37.603481,126.929173,30,31,17.0,6.5,874,1.09
10230,Seoul,Jongno-gu,37.572999,126.979189,30,13,18.27,6.8,668,1.71
10240,Seoul,Jung-gu,37.563988,126.99753,30,12,18.42,7.4,728,0.94
10250,Seoul,Jungnang-gu,37.606832,127.092656,30,23,16.65,6.9,689,0.7
10000,Seoul,Seoul,37.566953,126.977977,14,607,15.38,5.8,22739,1.44
10010,Seoul,Gangnam-gu,37.518421,127.047222,14,33,13.17,4.3,3088,4.18
10020,Seoul,Gangdong-gu,37.530492,127.123837,14,27,14.55,5.4,1023,1.54
10030,Seoul,Gangbuk-gu,37.639938,127.025508,14,14,19.49,8.5,628,0.67
10040,Seoul,Gangseo-gu,37.551166,126.849506,14,36,14.39,5.7,1080,1.17
10050,Seoul,Gwanak-gu,37.47829,126.951502,14,22,15.12,4.9,909,0.89
10060,Seoul,Gwangjin-gu,37.538712,127.082366,14,22,13.75,4.8,723,1.16
10070,Seoul,Guro-gu,37.495632,126.88765,14,26,16.21,5.7,741,1.0
10080,Seoul,Geumcheon-gu,37.456852,126.895229,14,18,16.15,6.7,475,0.96
10090,Seoul,Nowon-gu,37.654259,127.056294,14,42,15.4,7.4,952,1.39
10100,Seoul,Dobong-gu,37.668952,127.047082,14,23,17.89,7.2,485,0.95
10110,Seoul,Dongdaemun-gu,37.574552,127.039721,14,21,17.26,6.7,832,1.06
10120,Seoul,Dongjak-gu,37.510571,126.963604,14,21,15.85,5.2,762,1.17
10130,Seoul,Mapo-gu,37.566283,126.901644,14,22,14.05,4.9,929,1.83
10140,Seoul,Seodaemun-gu,37.579428,126.936771,14,19,16.77,6.2,587,1.12
10150,Seoul,Seocho-gu,37.483804,127.032693,14,24,13.39,3.8,1465,2.6
10160,Seoul,Seongdong-gu,37.563277,127.036647,14,21,14.76,5.3,593,0.97
10170,Seoul,Seongbuk-gu,37.589562,127.0167,14,29,16.15,6.0,729,1.02
10180,Seoul,Songpa-gu,37.51462,127.106141,14,40,13.1,4.1,1527,1.65
10190,Seoul,Yangcheon-gu,37.517189,126.866618,14,30,13.55,5.5,816,2.26
10200,Seoul,Yeongdeungpo-gu,37.526505,126.89619,14,23,15.6,5.8,1001,1.21
10210,Seoul,Yongsan-gu,37.532768,126.990021,14,15,16.87,6.5,435,0.68
10220,Seoul,Eunpyeong-gu,37.603481,126.929173,14,31,17.0,6.5,874,1.09
10230,Seoul,Jongno-gu,37.572999,126.979189,14,13,18.27,6.8,668,1.71
10240,Seoul,Jung-gu,37.563988,126.99753,14,12,18.42,7.4,728,0.94
10250,Seoul,Jungnang-gu,37.606832,127.092656,14,23,16.65,6.9,689,0.7
10000,Seoul,Seoul,37.566953,126.977977,13,607,15.38,5.8,22739,1.44
10010,Seoul,Gangnam-gu,37.518421,127.047222,13,33,13.17,4.3,3088,4.18
10020,Seoul,Gangdong-gu,37.530492,127.123837,13,27,14.55,5.4,1023,1.54
10030,Seoul,Gangbuk-gu,37.639938,127.025508,13,14,19.49,8.5,628,0.67
10040,Seoul,Gangseo-gu,37.551166,126.849506,13,36,14.39,5.7,1080,1.17
10050,Seoul,Gwanak-gu,37.47829,126.951502,13,22,15.12,4.9,909,0.89
10060,Seoul,Gwangjin-gu,37.538712,127.082366,13,22,13.75,4.8,723,1.16
10070,Seoul,Guro-gu,37.495632,126.88765,13,26,16.21,5.7,741,1.0
10080,Seoul,Geumcheon-gu,37.456852,126.895229,13,18,16.15,6.7,475,0.96
10090,Seoul,Nowon-gu,37.654259,127.056294,13,42,15.4,7.4,952,1.39
10100,Seoul,Dobong-gu,37.668952,127.047082,13,23,17.89,7.2,485,0.95
10110,Seoul,Dongdaemun-gu,37.574552,127.039721,13,21,17.26,6.7,832,1.06
10120,Seoul,Dongjak-gu,37.510571,126.963604,13,21,15.85,5.2,762,1.17
10130,Seoul,Mapo-gu,37.566283,126.901644,13,22,14.05,4.9,929,1.83
10140,Seoul,Seodaemun-gu,37.579428,126.936771,13,19,16.77,6.2,587,1.12
10150,Seoul,Seocho-gu,37.483804,127.032693,13,24,13.39,3.8,1465,2.6
10160,Seoul,Seongdong-gu,37.563277,127.036647,13,21,14.76,5.3,593,0.97
10170,Seoul,Seongbuk-gu,37.589562,127.0167,13,29,16.15,6.0,729,1.02
10180,Seoul,Songpa-gu,37.51462,127.106141,13,40,13.1,4.1,1527,1.65
10190,Seoul,Yangcheon-gu,37.517189,126.866618,13,30,13.55,5.5,816,2.26
